epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,1203.49,1.23482,1.02224,1.59155,0.92845,0.82036,0.8933,0.42297,1.72014,0.8312,2.51764,0.0016238,0.0016238,0.0016238
97,1216.08,1.23514,1.04097,1.60681,0.89036,0.8868,0.94337,0.49595,1.63049,0.79351,2.39524,0.00161984,0.00161984,0.00161984
98,1228.39,1.2046,1.00998,1.57219,0.92595,0.87931,0.93766,0.48624,1.61884,0.76248,2.33891,0.00161588,0.00161588,0.00161588
99,1240.69,1.23111,1.02333,1.58643,0.73285,0.62069,0.6698,0.22591,2.33492,1.42535,3.6445,0.00161192,0.00161192,0.00161192
100,1253.07,1.28068,1.04927,1.62988,0.83692,0.82759,0.8331,0.41755,1.81665,0.86321,2.619,0.00160796,0.00160796,0.00160796
101,1265.64,1.22243,1.00191,1.58312,0.9452,0.81609,0.9107,0.49158,1.57204,0.79314,2.25989,0.001604,0.001604,0.001604
102,1278.22,1.2128,0.99265,1.57813,0.92456,0.91569,0.94045,0.5037,1.62333,0.73132,2.44009,0.00160004,0.00160004,0.00160004
103,1290.94,1.22742,1.02775,1.59246,0.74632,0.50725,0.54281,0.23106,2.25041,1.95085,3.23954,0.00159608,0.00159608,0.00159608
104,1303.57,1.24167,1.03814,1.60451,0.92376,0.83557,0.89807,0.47292,1.62931,0.82833,2.36058,0.00159212,0.00159212,0.00159212
105,1316.12,1.21834,1.02742,1.58915,0.94671,0.9023,0.9515,0.52333,1.53031,0.73898,2.25316,0.00158816,0.00158816,0.00158816
106,1328.53,1.22201,1.00622,1.59389,0.90107,0.90805,0.94137,0.52634,1.48001,0.75629,2.19521,0.0015842,0.0015842,0.0015842
107,1340.91,1.21298,1.00637,1.59441,0.8946,0.87356,0.92936,0.48534,1.63813,0.77337,2.34518,0.00158024,0.00158024,0.00158024
108,1353.38,1.20156,0.9986,1.56737,0.88014,0.91379,0.91475,0.46913,1.62508,0.82393,2.34961,0.00157628,0.00157628,0.00157628
109,1365.72,1.18883,0.96996,1.55736,0.86772,0.8046,0.80635,0.38129,1.93753,0.89685,2.79919,0.00157232,0.00157232,0.00157232
110,1378.21,1.23,1.00919,1.61209,0.86349,0.81034,0.8423,0.42181,1.68731,0.91874,2.40265,0.00156836,0.00156836,0.00156836
111,1390.72,1.20429,0.97835,1.58042,0.90611,0.93678,0.96019,0.49837,1.60812,0.72414,2.3584,0.0015644,0.0015644,0.0015644
112,1403.05,1.20671,0.9954,1.55322,0.89055,0.85632,0.88327,0.45847,1.66332,0.79256,2.40705,0.00156044,0.00156044,0.00156044
113,1415.49,1.18724,1.03255,1.56298,0.87556,0.87931,0.92897,0.47367,1.60618,0.78749,2.33285,0.00155648,0.00155648,0.00155648
114,1427.86,1.2198,0.98222,1.57411,0.9,0.87929,0.93871,0.5065,1.53662,0.76773,2.27305,0.00155252,0.00155252,0.00155252
115,1440.34,1.16743,0.94965,1.54657,0.87773,0.90762,0.94048,0.49528,1.65277,0.79871,2.33018,0.00154856,0.00154856,0.00154856
116,1452.79,1.20711,0.97905,1.5781,0.9335,0.8908,0.93025,0.52796,1.53245,0.71838,2.23999,0.0015446,0.0015446,0.0015446
117,1465.01,1.18959,0.99456,1.56781,0.93423,0.82184,0.89574,0.47043,1.62401,0.7882,2.32893,0.00154064,0.00154064,0.00154064
118,1477.63,1.18556,0.98192,1.56771,0.91682,0.82346,0.88903,0.47964,1.69485,0.89722,2.41949,0.00153668,0.00153668,0.00153668
119,1490.45,1.19152,0.97529,1.56771,0.903,0.83908,0.88122,0.45871,1.63671,0.78336,2.38017,0.00153272,0.00153272,0.00153272
120,1503.21,1.20515,0.97804,1.58342,0.94059,0.90988,0.94631,0.5195,1.54767,0.70876,2.24434,0.00152876,0.00152876,0.00152876
121,1515.82,1.19471,0.95433,1.56372,0.92592,0.86198,0.92639,0.48036,1.64846,0.76991,2.35961,0.0015248,0.0015248,0.0015248
122,1528.18,1.18347,0.9654,1.56272,0.91724,0.77586,0.87044,0.44849,1.65112,0.94891,2.36989,0.00152084,0.00152084,0.00152084
123,1540.7,1.18822,0.95939,1.56109,0.95921,0.88506,0.96122,0.5452,1.51111,0.68092,2.24269,0.00151688,0.00151688,0.00151688
124,1553.03,1.18366,0.98837,1.55387,0.87343,0.83283,0.87909,0.47397,1.63015,0.83116,2.39336,0.00151292,0.00151292,0.00151292
125,1565.39,1.16787,0.96129,1.54357,0.94271,0.94575,0.97623,0.55036,1.47436,0.67074,2.20357,0.00150896,0.00150896,0.00150896
126,1577.74,1.17,0.92691,1.52574,0.93568,0.83603,0.89646,0.46223,1.63921,0.74881,2.41172,0.001505,0.001505,0.001505
127,1590.25,1.12267,0.96565,1.52406,0.89262,0.85995,0.90489,0.45725,1.70643,0.8145,2.43915,0.00150104,0.00150104,0.00150104
128,1602.7,1.16867,0.95177,1.53787,0.95561,0.93103,0.9602,0.5481,1.47618,0.65345,2.23624,0.00149708,0.00149708,0.00149708
129,1615.21,1.16688,0.95363,1.54304,0.90242,0.87356,0.90709,0.46267,1.66584,0.76023,2.42679,0.00149312,0.00149312,0.00149312
130,1627.76,1.14483,0.94208,1.52968,0.81369,0.70115,0.7609,0.32075,2.02808,1.40587,2.85318,0.00148916,0.00148916,0.00148916
131,1640.12,1.14306,0.94194,1.52794,0.86925,0.94828,0.94355,0.49819,1.58507,0.7139,2.3073,0.0014852,0.0014852,0.0014852
132,1652.55,1.15006,0.96586,1.53317,0.86251,0.7211,0.76071,0.34266,2.00098,0.97914,2.94764,0.00148124,0.00148124,0.00148124
133,1664.99,1.14078,0.93493,1.53365,0.87804,0.82751,0.83316,0.41071,1.74176,0.79882,2.54577,0.00147728,0.00147728,0.00147728
134,1677.62,1.13816,0.90912,1.53128,0.90927,0.87931,0.93641,0.43657,1.81411,0.82604,2.59948,0.00147332,0.00147332,0.00147332
135,1690.28,1.19416,0.95625,1.56021,0.9431,0.8908,0.94515,0.50062,1.55375,0.77139,2.2611,0.00146936,0.00146936,0.00146936
136,1702.76,1.14381,0.92278,1.51848,0.91235,0.90805,0.91419,0.49667,1.52666,0.80246,2.23088,0.0014654,0.0014654,0.0014654
137,1715.33,1.16819,0.94463,1.53942,0.89735,0.91379,0.92037,0.48857,1.6002,0.78965,2.35068,0.00146144,0.00146144,0.00146144
138,1727.68,1.13266,0.92614,1.51619,0.94027,0.90479,0.96907,0.53483,1.52156,0.68256,2.284,0.00145748,0.00145748,0.00145748
139,1740.1,1.14748,0.94222,1.52334,0.93224,0.94881,0.97279,0.54059,1.51019,0.66663,2.27211,0.00145352,0.00145352,0.00145352
140,1752.52,1.13921,0.93801,1.53222,0.90378,0.83908,0.89424,0.4554,1.61919,0.74683,2.41257,0.00144956,0.00144956,0.00144956
141,1764.85,1.11607,0.94585,1.52141,0.95403,0.88506,0.96725,0.53551,1.51709,0.69842,2.2108,0.0014456,0.0014456,0.0014456
142,1777.32,1.15446,0.93195,1.53274,0.94211,0.85632,0.90948,0.48839,1.59817,0.74016,2.36148,0.00144164,0.00144164,0.00144164
143,1789.74,1.12468,0.89675,1.51414,0.94868,0.88506,0.93654,0.52167,1.52598,0.70801,2.33916,0.00143768,0.00143768,0.00143768
144,1802.31,1.15078,0.9325,1.52281,0.92971,0.91213,0.95253,0.49618,1.62787,0.74975,2.45139,0.00143372,0.00143372,0.00143372
145,1814.9,1.13635,0.91613,1.5161,0.89582,0.91954,0.94453,0.50509,1.59587,0.72422,2.40237,0.00142976,0.00142976,0.00142976
146,1827.28,1.10038,0.86896,1.49272,0.94821,0.8908,0.93789,0.51782,1.49147,0.69588,2.26784,0.0014258,0.0014258,0.0014258
147,1839.67,1.11026,0.89388,1.48975,0.90738,0.90088,0.9312,0.50072,1.51566,0.77986,2.26436,0.00142184,0.00142184,0.00142184
148,1852.03,1.1266,0.90094,1.52272,0.91681,0.88678,0.92785,0.50047,1.55894,0.7322,2.28576,0.00141788,0.00141788,0.00141788
149,1864.42,1.14372,0.93348,1.51513,0.83877,0.71756,0.73506,0.31982,1.9658,1.26533,2.9331,0.00141392,0.00141392,0.00141392
150,1876.88,1.12226,0.92462,1.51514,0.9275,0.88225,0.91052,0.48459,1.60852,0.74827,2.33429,0.00140996,0.00140996,0.00140996
151,1889.71,1.09605,0.90947,1.4778,0.80002,0.77586,0.79073,0.3514,1.94503,0.97965,2.79075,0.001406,0.001406,0.001406
152,1902.53,1.13897,0.93857,1.51957,0.81352,0.58046,0.6791,0.2782,2.22986,1.34498,3.33732,0.00140204,0.00140204,0.00140204
153,1915.2,1.12299,0.908,1.51698,0.94453,0.92529,0.95317,0.52669,1.55113,0.69017,2.32551,0.00139808,0.00139808,0.00139808
154,1927.85,1.08352,0.89138,1.47611,0.95065,0.9023,0.93887,0.51631,1.53278,0.69373,2.29363,0.00139412,0.00139412,0.00139412
155,1940.13,1.1031,0.88208,1.48733,0.86243,0.81609,0.84544,0.42105,1.72203,0.84016,2.49611,0.00139016,0.00139016,0.00139016
156,1952.53,1.06806,0.87101,1.47209,0.96446,0.87931,0.9425,0.52908,1.49769,0.67899,2.28517,0.0013862,0.0013862,0.0013862
157,1964.91,1.08802,0.88238,1.48217,0.9239,0.87931,0.91153,0.5109,1.5015,0.666,2.31557,0.00138224,0.00138224,0.00138224
158,1977.34,1.13048,0.89419,1.51715,0.75876,0.56897,0.59253,0.20214,2.50534,1.37506,4.11288,0.00137828,0.00137828,0.00137828
159,1989.85,1.0888,0.88801,1.47853,0.77299,0.72989,0.69232,0.27054,2.2584,1.01749,3.48903,0.00137432,0.00137432,0.00137432
160,2002.4,1.08551,0.86796,1.47588,0.91878,0.87356,0.91068,0.48647,1.5725,0.76707,2.30416,0.00137036,0.00137036,0.00137036
161,2015.22,1.10918,0.89841,1.48218,0.82674,0.79529,0.81363,0.35856,1.93333,0.87673,2.95031,0.0013664,0.0013664,0.0013664
162,2027.68,1.09573,0.91983,1.49338,0.96348,0.90985,0.96375,0.52193,1.57515,0.67015,2.37682,0.00136244,0.00136244,0.00136244
163,2040.09,1.06844,0.86154,1.47113,0.95201,0.91206,0.94547,0.5234,1.5053,0.65766,2.34684,0.00135848,0.00135848,0.00135848
164,2052.47,1.09005,0.88493,1.47039,0.94522,0.89243,0.95516,0.5239,1.48974,0.68467,2.29153,0.00135452,0.00135452,0.00135452
165,2064.83,1.07926,0.87129,1.4763,0.95792,0.91571,0.96525,0.53277,1.50014,0.65391,2.29334,0.00135056,0.00135056,0.00135056
166,2077.2,1.08419,0.91216,1.48289,0.92403,0.92529,0.96432,0.54082,1.46944,0.6555,2.22689,0.0013466,0.0013466,0.0013466
167,2090.28,1.06739,0.89497,1.47277,0.93158,0.93907,0.95006,0.53051,1.49515,0.68871,2.29507,0.00134264,0.00134264,0.00134264
168,2103.03,1.07932,0.86476,1.47511,0.89271,0.90855,0.93228,0.52564,1.48921,0.6886,2.26514,0.00133868,0.00133868,0.00133868
169,2115.79,1.06537,0.85009,1.46234,0.88674,0.67241,0.74713,0.35537,1.8497,1.10421,2.84407,0.00133472,0.00133472,0.00133472
170,2128.37,1.06699,0.87052,1.4552,0.69702,0.56897,0.6278,0.23022,2.36659,1.49639,3.80457,0.00133076,0.00133076,0.00133076
171,2140.97,1.0644,0.83581,1.45374,0.80382,0.73,0.78692,0.33363,1.9751,1.13545,3.08158,0.0013268,0.0013268,0.0013268
172,2153.36,1.07641,0.87631,1.45902,0.87188,0.74312,0.80763,0.40399,1.72296,1.00074,2.54229,0.00132284,0.00132284,0.00132284
173,2165.75,1.06144,0.87595,1.47448,0.82548,0.72989,0.78803,0.37655,1.94553,1.07052,2.81406,0.00131888,0.00131888,0.00131888
174,2178.06,1.06191,0.88743,1.46582,0.88046,0.80424,0.85429,0.43787,1.7328,0.87432,2.5214,0.00131492,0.00131492,0.00131492
175,2190.51,1.07749,0.87196,1.48286,0.89164,0.85127,0.87414,0.44676,1.66777,0.76739,2.51269,0.00131096,0.00131096,0.00131096
176,2202.95,1.05969,0.87774,1.44047,0.95562,0.89655,0.96143,0.54269,1.48221,0.6371,2.28465,0.001307,0.001307,0.001307
177,2215.37,1.04457,0.84319,1.43819,0.90944,0.92347,0.94048,0.53322,1.47727,0.69266,2.30339,0.00130304,0.00130304,0.00130304
178,2227.93,1.047,0.86774,1.45595,0.93653,0.93275,0.95048,0.54721,1.45271,0.65887,2.26313,0.00129908,0.00129908,0.00129908
179,2240.23,1.06184,0.86461,1.46125,0.96001,0.93103,0.95082,0.5412,1.49821,0.65306,2.28155,0.00129512,0.00129512,0.00129512
180,2252.59,1.0574,0.84976,1.47407,0.74866,0.66667,0.70746,0.29368,2.09588,1.3602,3.13252,0.00129116,0.00129116,0.00129116
181,2265.11,1.05548,0.87495,1.45782,0.79784,0.58621,0.68354,0.27592,2.24089,1.37448,3.353,0.0012872,0.0012872,0.0012872
182,2277.44,1.05814,0.8498,1.46462,0.74968,0.61964,0.65826,0.25118,2.3417,1.25588,3.6527,0.00128324,0.00128324,0.00128324
183,2290.14,1.04438,0.8681,1.4574,0.93954,0.91379,0.94622,0.54199,1.45769,0.63994,2.30009,0.00127928,0.00127928,0.00127928
